title,text-data,desktop-hidden 2,desktop-hidden 4
"Apartment for rent  in Roma Municipio IX – EUR, Italy",43 m2 apartment for rent in Roma Municipio IX – EUR,830 EUR,43 m2
"Apartment for rent  in Roma Municipio XII – Monte Verde, Italy",55 m2 apartment for rent in Roma Municipio XII – Monte Verde,800 EUR,55 m2
"Apartment for rent  in Acilia-Castel Fusano-Ostia Antica, Italy",65 m2 apartment for rent in Acilia-Castel Fusano-Ostia Antica,650 EUR,65 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",50 m2 apartment for rent in Roma Municipio I – Centro Storico,850 EUR,50 m2
"Apartment for rent  in Roma Municipio X – Ostia/Acilia, Italy",75 m2 apartment for rent in Roma Municipio X – Ostia/Acilia,850 EUR,75 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",56 m2 apartment for rent in Roma Municipio IX – EUR,850 EUR,56 m2
"Apartment for rent  in Roma Municipio VI – Roma Delle Torri, Italy",75 m2 apartment for rent in Roma Municipio VI – Roma Delle Torri,890 EUR,75 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",70 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,850 EUR,70 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",70 m2 apartment for rent in Roma Municipio IV – Tiburtino,750 EUR,70 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",65 m2 apartment for rent in Roma Municipio XIV – Monte Mario,"1,000 EUR",65 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",75 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,900 EUR,75 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",30 m2 apartment for rent in Milano Zona 1 - Centro storico,937 EUR,30 m2
"Apartment for rent  in Spoleto, Italy",60 m2 apartment for rent in Spoleto,900 EUR,60 m2
"Apartment for rent  in Milano Zona 4 - Vittoria, Forlanini, Italy","75 m2 apartment for rent in Milano Zona 4 - Vittoria, Forlanini","1,550 EUR",75 m2
"Apartment for rent  in Florence, Italy",90 m2 apartment for rent in Florence,900 EUR,90 m2
"Apartment for rent  in Florence, Italy",45 m2 apartment for rent in Florence,700 EUR,45 m2
"Apartment for rent  in Florence, Italy",60 m2 apartment for rent in Florence,565 EUR,60 m2
"Apartment for rent  in Florence, Italy",50 m2 apartment for rent in Florence,750 EUR,50 m2
"Apartment for rent  in Florence, Italy",75 m2 apartment for rent in Florence,750 EUR,75 m2
"Apartment for rent  in Florence, Italy",42 m2 apartment for rent in Florence,550 EUR,42 m2
"Apartment for rent  in Florence, Italy",80 m2 apartment for rent in Florence,"1,700 EUR",80 m2
"Room for rent  in Roma Municipio II – Parioli/Nomentano, Italy",14 m2 room for rent in Roma Municipio II – Parioli/Nomentano,350 EUR,14 m2
"Apartment for rent  in Spoleto, Italy",65 m2 apartment for rent in Spoleto,700 EUR,65 m2
"Apartment for rent  in Lodi, Italy",35 m2 apartment for rent in Lodi,400 EUR,35 m2
"Apartment for rent  in Spoleto, Italy",14 m2 apartment for rent in Spoleto,550 EUR,14 m2
"Apartment for rent  in Bettona, Italy",100 m2 apartment for rent in Bettona,600 EUR,100 m2
"Apartment for rent  in Perugia, Italy",90 m2 apartment for rent in Perugia,550 EUR,90 m2
"Apartment for rent  in Messina, Italy",90 m2 apartment for rent in Messina,450 EUR,90 m2
"Apartment for rent  in Venetico, Italy",60 m2 apartment for rent in Venetico,10 EUR,60 m2
"Apartment for rent  in Aprilia, Italy",150 m2 apartment for rent in Aprilia,"1,000 EUR",150 m2
"Apartment for rent  in Roma Municipio VIII – Appia Antica, Italy",100 m2 apartment for rent in Roma Municipio VIII – Appia Antica,"1,300 EUR",100 m2
"Apartment for rent  in Messina, Italy",340 m2 apartment for rent in Messina,"2,800 EUR",340 m2
"Apartment for rent  in Collegno, Italy",55 m2 apartment for rent in Collegno,470 EUR,55 m2
"Apartment for rent  in Anzio, Italy",50 m2 apartment for rent in Anzio,500 EUR,50 m2
"Apartment for rent  in Miranda, Italy",70 m2 apartment for rent in Miranda,800 EUR,70 m2
"Apartment for rent  in Cassino, Italy",70 m2 apartment for rent in Cassino,700 EUR,70 m2
"Apartment for rent  in Palermo, Italy",140 m2 apartment for rent in Palermo,850 EUR,140 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",100 m2 apartment for rent in Roma Municipio XIV – Monte Mario,"1,000 EUR",100 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",50 m2 apartment for rent in Roma Municipio IX – EUR,"1,100 EUR",50 m2
"Apartment for rent  in Spoleto, Italy",35 m2 apartment for rent in Spoleto,700 EUR,35 m2
"Apartment for rent  in Viale, Italy",60 m2 apartment for rent in Viale,650 EUR,60 m2
"Apartment for rent  in Spoleto, Italy",50 m2 apartment for rent in Spoleto,"1,050 EUR",50 m2
"Apartment for rent  in Spoleto, Italy",75 m2 apartment for rent in Spoleto,"1,200 EUR",75 m2
"Apartment for rent  in Spoleto, Italy",40 m2 apartment for rent in Spoleto,"1,050 EUR",40 m2
"Apartment for rent  in Messina, Italy",100 m2 apartment for rent in Messina,600 EUR,100 m2
"Apartment for rent  in Turin, Italy",50 m2 apartment for rent in Turin,400 EUR,50 m2
"Apartment for rent  in Catanzaro, Italy",200 m2 apartment for rent in Catanzaro,900 EUR,200 m2
"Apartment for rent  in Ugento, Italy",50 m2 apartment for rent in Ugento,850 EUR,50 m2
"Apartment for rent  in Spoleto, Italy",118 m2 apartment for rent in Spoleto,"1,542 EUR",118 m2
"Apartment for rent  in Napoli Municipalità 4, Italy",40 m2 apartment for rent in Napoli Municipalità 4,480 EUR,40 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",130 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,050 EUR",130 m2
"Apartment for rent  in Genoa, Italy",85 m2 apartment for rent in Genoa,450 EUR,85 m2
"Apartment for rent  in Spoleto, Italy",70 m2 apartment for rent in Spoleto,950 EUR,70 m2
"Apartment for rent  in Spoleto, Italy",85 m2 apartment for rent in Spoleto,"1,450 EUR",85 m2
"Apartment for rent  in Genoa, Italy",78 m2 apartment for rent in Genoa,580 EUR,78 m2
"Apartment for rent  in Genoa, Italy",78 m2 apartment for rent in Genoa,600 EUR,78 m2
"Apartment for rent  in Bologna, Italy",55 m2 apartment for rent in Bologna,850 EUR,55 m2
"Apartment for rent  in Milano Zona 7 - Baggio, De Angeli, San Siro, Italy","95 m2 apartment for rent in Milano Zona 7 - Baggio, De Angeli, San Siro","1,783 EUR",95 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",120 m2 apartment for rent in Milano Zona 1 - Centro storico,"2,300 EUR",120 m2
"Apartment for rent  in Turin, Italy",120 m2 apartment for rent in Turin,"1,000 EUR",120 m2
"Room for rent  in Roma Municipio I – Centro Storico, Italy",65 m2 room for rent in Roma Municipio I – Centro Storico,"1,440 EUR",65 m2
"Room for rent  in Lodi, Italy",110 m2 room for rent in Lodi,"1,450 EUR",110 m2
"Room for rent  in Lodi, Italy",13 m2 room for rent in Lodi,500 EUR,13 m2
