title,text-data,desktop-hidden 2,desktop-hidden 4
,,,
"Apartment for rent  in Roma Municipio IX – EUR, Italy",43 m2 apartment for rent in Roma Municipio IX – EUR,830 EUR,43 m2
"Apartment for rent  in Roma Municipio XII – Monte Verde, Italy",55 m2 apartment for rent in Roma Municipio XII – Monte Verde,800 EUR,55 m2
"Apartment for rent  in Acilia-Castel Fusano-Ostia Antica, Italy",65 m2 apartment for rent in Acilia-Castel Fusano-Ostia Antica,650 EUR,65 m2
"Apartment for rent  in Roma Municipio I – Centro Storico, Italy",50 m2 apartment for rent in Roma Municipio I – Centro Storico,850 EUR,50 m2
"Apartment for rent  in Roma Municipio X – Ostia/Acilia, Italy",75 m2 apartment for rent in Roma Municipio X – Ostia/Acilia,850 EUR,75 m2
"Apartment for rent  in Roma Municipio IX – EUR, Italy",56 m2 apartment for rent in Roma Municipio IX – EUR,850 EUR,56 m2
"Apartment for rent  in Roma Municipio VI – Roma Delle Torri, Italy",75 m2 apartment for rent in Roma Municipio VI – Roma Delle Torri,890 EUR,75 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",70 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,850 EUR,70 m2
"Apartment for rent  in Roma Municipio IV – Tiburtino, Italy",70 m2 apartment for rent in Roma Municipio IV – Tiburtino,750 EUR,70 m2
"Apartment for rent  in Roma Municipio XIV – Monte Mario, Italy",65 m2 apartment for rent in Roma Municipio XIV – Monte Mario,"1,000 EUR",65 m2
"Apartment for rent  in Roma Municipio II – Parioli/Nomentano, Italy",75 m2 apartment for rent in Roma Municipio II – Parioli/Nomentano,900 EUR,75 m2
"Apartment for rent  in Milano Zona 1 - Centro storico, Italy",30 m2 apartment for rent in Milano Zona 1 - Centro storico,937 EUR,30 m2
"Apartment for rent  in Spoleto, Italy",60 m2 apartment for rent in Spoleto,900 EUR,60 m2
"Apartment for rent  in Milano Zona 4 - Vittoria, Forlanini, Italy","75 m2 apartment for rent in Milano Zona 4 - Vittoria, Forlanini","1,550 EUR",75 m2
"Apartment for rent  in Florence, Italy",90 m2 apartment for rent in Florence,900 EUR,90 m2
"Apartment for rent  in Florence, Italy",45 m2 apartment for rent in Florence,700 EUR,45 m2
"Apartment for rent  in Florence, Italy",60 m2 apartment for rent in Florence,565 EUR,60 m2
"Apartment for rent  in Florence, Italy",50 m2 apartment for rent in Florence,750 EUR,50 m2
"Apartment for rent  in Florence, Italy",75 m2 apartment for rent in Florence,750 EUR,75 m2
"Apartment for rent  in Florence, Italy",42 m2 apartment for rent in Florence,550 EUR,42 m2
"Apartment for rent  in Florence, Italy",80 m2 apartment for rent in Florence,"1,700 EUR",80 m2
