,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,56,58,59,61,62,63,65,67,70,72,74,75,76,80,83,86,89,92,96,100,103,107,111,115,119
Belgium,71,73,73,74,76,77,79,81,82,84,87,88,90,92,93,94,96,97,99,100,101,102,103,104,107
Czech Republic,,,,,,,,,,,,,108,103,100,99,95,95,96,100,107,116,123,131,140
Denmark,54,60,64,67,70,72,73,76,83,98,119,120,111,96,97,93,88,91,94,100,105,108,112,114,122
Estonia,,,,,,,,,,84,119,133,112,71,72,74,77,82,93,100,103,105,108,112,115
Finland,59,67,72,76,77,74,77,81,87,93,98,102,100,99,104,104,103,102,100,100,101,101,101,101,100
France,70,71,73,74,74,74,76,78,80,83,86,89,91,93,94,95,97,98,99,100,100,101,100,101,101
Germany,79,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,99,100,101,103,104,106,107
Greece,65,70,75,78,81,84,89,93,98,102,107,112,116,120,123,124,122,113,105,100,97,95,92,92,92
Hungary,,,,,42,49,54,59,64,67,70,75,82,88,91,92,96,98,98,100,105,108,114,125,130
Iceland,23,24,25,27,31,33,36,40,43,45,49,54,64,74,76,80,84,90,96,100,104,108,114,120,125
Ireland,58,62,64,53,59,72,70,66,68,74,91,119,133,89,91,104,101,100,99,100,103,107,111,116,117
Italy,63,67,70,73,74,76,78,80,82,84,86,88,90,93,95,97,99,100,100,100,100,101,101,101,101
Latvia,27,36,48,49,50,51,52,53,56,63,71,84,105,90,77,82,90,95,99,100,99,98,102,107,105
Lithuania,16,18,33,36,35,33,33,34,36,41,50,64,87,78,63,65,71,76,85,100,110,111,117,126,130
Luxembourg,66,68,70,72,74,76,78,79,81,83,85,87,89,91,93,95,96,97,98,100,101,102,103,105,106
Netherlands,59,61,63,65,67,69,71,73,75,77,79,81,82,84,86,87,89,93,97,100,102,104,106,109,112
Norway,59,60,62,63,66,68,71,74,76,77,79,80,83,86,88,90,92,95,97,100,102,104,106,108,109
Poland,24,30,37,45,53,61,66,69,71,74,76,80,85,89,91,94,96,98,99,100,101,104,108,114,120
Portugal,63,66,67,68,70,72,74,76,78,80,82,84,87,89,91,92,94,95,99,100,102,103,105,108,111
Slovak Republic,25,27,28,30,38,47,49,63,79,84,86,89,92,97,98,99,100,100,100,100,100,101,101,101,103
Slovenia,,,,,57,63,69,79,88,93,95,98,104,103,102,101,100,99,98,100,102,107,114,118,116
Spain,57,61,64,66,68,71,75,78,81,84,88,92,96,99,100,101,101,101,100,100,100,100,102,103,104
Sweden,70,72,72,72,73,74,76,78,80,82,83,84,86,89,90,92,95,97,99,100,101,102,103,104,106
Switzerland,79,79,79,80,81,83,84,84,85,87,88,90,92,95,96,97,98,98,99,100,100,101,102,102,103
United Kingdom,60,62,64,66,68,70,72,73,74,77,79,82,85,86,88,90,93,95,97,100,102,103,103,104,105
